date,enrolled,attended,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_saturday,is_sunday,holiday,temp,humidity,snow,sealevelpressure,solarradiation,normalised_attendance,tw_assessment,tw_non_study,tw_reflection,tw_semester1,tw_semester2,month,season_Autumn,season_Spring,season_Summer,season_Winter
9/13/2021,5174,1501,1,0,0,0,0,0,0,0,22.6,22.7,0,1012.8,251.3,0.290104368,0,0,0,1,0,9,1,0,0,0
9/14/2021,5174,1405,0,1,0,0,0,0,0,0,23.8,26.4,0,1013.4,246.7,0.271550058,0,0,0,1,0,9,1,0,0,0
9/15/2021,5174,1379,0,0,1,0,0,0,0,0,25.4,25.9,0,1012.7,240.5,0.266524932,0,0,0,1,0,9,1,0,0,0
9/16/2021,5174,1366,0,0,0,1,0,0,0,0,25.4,26.1,0,1012.4,238.4,0.26401237,0,0,0,1,0,9,1,0,0,0
9/17/2021,5174,1526,0,0,0,0,1,0,0,0,25.4,24.2,0,1008.9,240.5,0.29493622,0,0,0,1,0,9,1,0,0,0
9/18/2021,5174,80,0,0,0,0,0,1,0,0,27.1,22.6,0,1008.8,235.3,0.015461925,0,0,0,1,0,9,1,0,0,0
9/19/2021,5174,2,0,0,0,0,0,0,1,0,24.9,24.1,0,1012.2,230.9,0.000386548,0,0,0,1,0,9,1,0,0,0
9/20/2021,5174,1813,1,0,0,0,0,0,0,0,20.2,31.5,0,1015,227.9,0.350405876,0,0,0,1,0,9,1,0,0,0
9/21/2021,5174,2120,0,1,0,0,0,0,0,0,21.1,33.3,0,1013.2,225.9,0.409741013,0,0,0,1,0,9,1,0,0,0
9/22/2021,5174,2358,0,0,1,0,0,0,0,0,20.9,30.2,0,1013.2,225.1,0.45574024,0,0,0,1,0,9,1,0,0,0
9/23/2021,5174,2212,0,0,0,1,0,0,0,0,22,23.1,0,1013.1,225,0.427522227,0,0,0,1,0,9,1,0,0,0
9/24/2021,5174,1970,0,0,0,0,1,0,0,0,22.2,27.1,0,1014.2,223,0.380749903,0,0,0,1,0,9,1,0,0,0
9/25/2021,5174,305,0,0,0,0,0,1,0,0,23.1,26.8,0,1013.5,221.9,0.058948589,0,0,0,1,0,9,1,0,0,0
9/26/2021,5174,3,0,0,0,0,0,0,1,0,25.6,23.5,0,1007.7,216.6,0.000579822,0,0,0,1,0,9,1,0,0,0
9/27/2021,5174,1781,1,0,0,0,0,0,0,0,20.3,36.8,0,1016,198.3,0.344221106,0,0,0,1,0,9,1,0,0,0
9/28/2021,5174,2154,0,1,0,0,0,0,0,0,20.4,42.4,0,1014.8,208.3,0.416312331,0,0,0,1,0,9,1,0,0,0
9/29/2021,5174,2274,0,0,1,0,0,0,0,0,21.6,36,0,1015.2,200.6,0.439505218,0,0,0,1,0,9,1,0,0,0
9/30/2021,5174,2007,0,0,0,1,0,0,0,0,19.4,39.8,0,1017.8,156,0.387901044,0,0,0,1,0,9,1,0,0,0
10/01/2021,5174,30,0,0,0,0,1,0,0,0,15.4,33.5,0,1021.2,185.9,0.005798222,0,0,0,1,0,10,1,0,0,0
10/02/2021,5174,1215,0,0,0,0,0,1,0,0,12,45.5,0,1025.1,162.2,0.234827986,0,0,0,1,0,10,1,0,0,0
10/03/2021,5174,38,0,0,0,0,0,0,1,0,12.5,47.1,0,1024.1,192.6,0.007344414,0,0,0,1,0,10,1,0,0,0
10/04/2021,5174,1783,1,0,0,0,0,0,0,0,12.9,39.8,0,1022.5,202.1,0.344607654,0,0,0,1,0,10,1,0,0,0
10/05/2021,5174,2147,0,1,0,0,0,0,0,0,14,41.2,0,1019,153.5,0.414959412,0,0,0,1,0,10,1,0,0,0
10/06/2021,5174,2278,0,0,1,0,0,0,0,0,13.2,55.1,0,1022,154.6,0.440278315,0,0,0,1,0,10,1,0,0,0
10/07/2021,5174,2157,0,0,0,1,0,0,0,0,12.4,43.6,0,1023,182.1,0.416892153,0,0,0,1,0,10,1,0,0,0
10/08/2021,5174,1962,0,0,0,0,1,0,0,0,13.5,51,0,1022.3,113.7,0.379203711,0,0,0,1,0,10,1,0,0,0
10/09/2021,5174,399,0,0,0,0,0,1,0,0,10.1,91.1,0,1023.3,61.1,0.077116351,0,0,0,1,0,10,1,0,0,0
10/10/2021,5174,110,0,0,0,0,0,0,1,0,10.6,58.6,0,1027.7,164.1,0.021260147,0,0,0,1,0,10,1,0,0,0
10/11/2021,5174,1825,1,0,0,0,0,0,0,0,11,50.9,0,1028.9,182.5,0.352725164,0,0,0,1,0,10,1,0,0,0
10/12/2021,5174,2190,0,1,0,0,0,0,0,0,12.7,49.2,0,1026.6,182.2,0.423270197,0,0,0,1,0,10,1,0,0,0
10/13/2021,5174,2247,0,0,1,0,0,0,0,0,13.2,50.4,0,1022.1,181,0.434286819,0,0,0,1,0,10,1,0,0,0
10/14/2021,5174,2170,0,0,0,1,0,0,0,0,14.5,46.4,0,1020.8,177.6,0.419404716,0,0,0,1,0,10,1,0,0,0
10/15/2021,5174,2011,0,0,0,0,1,0,0,0,14.2,46.1,0,1020.9,175.5,0.38867414,0,0,0,1,0,10,1,0,0,0
10/16/2021,5174,578,0,0,0,0,0,1,0,0,14.7,41.1,0,1018.8,172.3,0.111712408,0,0,0,1,0,10,1,0,0,0
10/17/2021,5174,241,0,0,0,0,0,0,1,0,14.7,43.9,0,1017.1,170.3,0.046579049,0,0,0,1,0,10,1,0,0,0
10/18/2021,5174,1869,1,0,0,0,0,0,0,0,14.5,44.4,0,1014.4,166.4,0.361229223,0,0,0,1,0,10,1,0,0,0
10/19/2021,5174,2218,0,1,0,0,0,0,0,0,15.7,43,0,1014.9,159,0.428681871,0,0,0,1,0,10,1,0,0,0
10/20/2021,5174,2281,0,0,1,0,0,0,0,0,17.2,43.8,0,1016.8,137.3,0.440858137,0,0,0,1,0,10,1,0,0,0
10/21/2021,5174,2143,0,0,0,1,0,0,0,0,12.1,69.4,0,1020.8,57.5,0.414186316,0,0,0,1,0,10,1,0,0,0
